Mois,Région,Consommation brute (MWh),Anomalie
2014-01-01,Auvergne-Rhône-Alpes,6614024.0,1
2014-02-01,Auvergne-Rhône-Alpes,5971239.0,1
2014-03-01,Auvergne-Rhône-Alpes,5894493.0,1
2014-04-01,Auvergne-Rhône-Alpes,5045286.0,1
2014-05-01,Auvergne-Rhône-Alpes,4770342.0,1
2014-06-01,Auvergne-Rhône-Alpes,4517272.0,1
2014-07-01,Auvergne-Rhône-Alpes,4720235.0,1
2014-08-01,Auvergne-Rhône-Alpes,4202267.0,1
2014-09-01,Auvergne-Rhône-Alpes,4625125.0,1
2014-10-01,Auvergne-Rhône-Alpes,5003876.0,1
2014-11-01,Auvergne-Rhône-Alpes,5570732.0,1
2014-12-01,Auvergne-Rhône-Alpes,6617878.0,1
2015-01-01,Auvergne-Rhône-Alpes,7026045.0,1
2015-02-01,Auvergne-Rhône-Alpes,6600432.0,1
2015-03-01,Auvergne-Rhône-Alpes,6263305.0,1
2015-04-01,Auvergne-Rhône-Alpes,5195536.0,1
2015-05-01,Auvergne-Rhône-Alpes,4738602.0,1
2015-06-01,Auvergne-Rhône-Alpes,4930204.0,1
2015-07-01,Auvergne-Rhône-Alpes,5005648.0,1
2015-08-01,Auvergne-Rhône-Alpes,4404973.0,1
2015-09-01,Auvergne-Rhône-Alpes,4688122.0,1
2015-10-01,Auvergne-Rhône-Alpes,5524149.0,1
2015-11-01,Auvergne-Rhône-Alpes,5722482.0,1
2015-12-01,Auvergne-Rhône-Alpes,6156748.0,1
2016-01-01,Auvergne-Rhône-Alpes,6797527.0,1
2016-02-01,Auvergne-Rhône-Alpes,6366734.0,1
2016-03-01,Auvergne-Rhône-Alpes,6527885.0,1
2016-04-01,Auvergne-Rhône-Alpes,5325873.0,1
2016-05-01,Auvergne-Rhône-Alpes,4882200.0,1
2016-06-01,Auvergne-Rhône-Alpes,4568499.0,1
2016-07-01,Auvergne-Rhône-Alpes,4719651.0,1
2016-08-01,Auvergne-Rhône-Alpes,4380219.0,1
2016-09-01,Auvergne-Rhône-Alpes,4620272.0,1
2016-10-01,Auvergne-Rhône-Alpes,5394341.0,1
2016-11-01,Auvergne-Rhône-Alpes,5998804.0,1
2016-12-01,Auvergne-Rhône-Alpes,7018432.0,1
2017-01-01,Auvergne-Rhône-Alpes,7895235.0,-1
2017-02-01,Auvergne-Rhône-Alpes,5996758.0,1
2017-03-01,Auvergne-Rhône-Alpes,5881424.0,1
2017-04-01,Auvergne-Rhône-Alpes,5086468.0,1
2017-05-01,Auvergne-Rhône-Alpes,4904427.0,1
2017-06-01,Auvergne-Rhône-Alpes,4680859.0,1
2017-07-01,Auvergne-Rhône-Alpes,4782045.0,1
2017-08-01,Auvergne-Rhône-Alpes,4432717.0,1
2017-09-01,Auvergne-Rhône-Alpes,4696966.0,1
2017-10-01,Auvergne-Rhône-Alpes,5078271.0,1
2017-11-01,Auvergne-Rhône-Alpes,6225479.0,1
